,Specie ID,Average Fitness,Stagnation
91,Specie 3,8.816193444466382,111
92,Specie 4,8.981254612955917,11
93,Specie 5,8.666310298900592,75
94,Specie 6,8.677439666234037,16
95,Specie 7,8.670232698335592,35
96,Specie 8,8.980969838895824,50
97,Specie 9,7.6509739525728975,20
98,Specie 10,8.566734416788512,11
99,Specie 11,7.531342806663582,6
100,Specie 12,8.049983183370195,9
101,Specie 13,7.649465706979516,5
102,Specie 14,5.636069096005447,65
103,Specie 15,8.661232784941612,7
104,Specie 16,4.000000023165424,40
105,Specie 17,8.815269042203578,7
106,Specie 18,4.111781200665681,38
107,Specie 19,6.374701221809303,7
108,Specie 20,5.823408480113487,9
109,Specie 21,6.936223099425805,4
110,Specie 22,8.648905719491175,10
111,Specie 23,7.875469407488064,36
112,Specie 24,7.787606737265866,0
113,Specie 25,4.881393426558409,1
114,Specie 26,5.783651089601045,0
115,Specie 27,3.938673536925433,0
116,Specie 28,5.363319585717626,0
117,Specie 29,4.85944083363737,0
118,Specie 30,2.740579454424127,0
119,Specie 0,8.990338221602558,91
120,Specie 1,8.918231074354052,33
121,Specie 2,8.99238645989702,7
122,Specie 3,8.750715073311534,107
123,Specie 4,8.981957167141447,8
124,Specie 5,8.751739141242941,45
125,Specie 6,8.847280184184395,85
126,Specie 7,8.724670889092776,62
127,Specie 8,8.413202516050813,56
128,Specie 9,8.112860120460201,9
129,Specie 10,8.617886760906877,7
130,Specie 11,7.647771525785399,7
131,Specie 12,8.842141562856085,45
132,Specie 13,8.051818410689764,14
133,Specie 14,8.826767747071347,10
134,Specie 15,8.73091094216439,5
135,Specie 16,4.000000106592621,19
136,Specie 17,8.885357353639753,5
137,Specie 18,4.367923736039062,23
138,Specie 19,7.796211090063745,35
139,Specie 20,7.735650223452589,7
140,Specie 21,7.461408277890468,16
141,Specie 22,8.750107459357489,28
142,Specie 23,8.012252472213977,26
143,Specie 24,8.572781439229791,10
144,Specie 25,4.881393426558409,5
145,Specie 26,6.35330425406416,6
146,Specie 27,5.372035899146455,7
147,Specie 28,5.731500710661233,15
148,Specie 29,5.918598582102137,30
149,Specie 30,3.128945522346625,5
150,Specie 31,3.998064391960775,0
151,Specie 32,3.700027000711768,0
152,Specie 33,4.000698985125261,0
153,Specie 34,4.000019698132146,0
154,Specie 0,8.992593460559695,84
155,Specie 1,8.971877996128823,30
156,Specie 2,8.9919352062379,5
157,Specie 3,8.756887939530007,72
158,Specie 4,8.984501975590788,8
159,Specie 5,8.837433616246946,27
160,Specie 6,8.903050876240343,9
161,Specie 7,8.717520232173637,57
162,Specie 8,8.244997969145409,59
163,Specie 9,8.191519733489294,45
164,Specie 10,8.688550999938592,6
165,Specie 11,7.72022258497271,5
166,Specie 12,8.887976885116963,10
167,Specie 13,8.196312556846223,5
168,Specie 14,8.769469521696172,3
169,Specie 15,8.794712282899404,30
170,Specie 16,4.000000093989176,3
171,Specie 17,8.93187979808944,6
172,Specie 18,4.983717228294734,23
173,Specie 19,8.170470514396834,2
174,Specie 20,8.91318534189066,51
175,Specie 21,8.00723741201371,11
176,Specie 22,8.8242337427244,28
177,Specie 23,8.096503777504463,26
178,Specie 24,8.829342067453187,25
179,Specie 25,5.69236856216174,6
180,Specie 26,7.347887691308969,11
181,Specie 27,7.61334276840886,27
182,Specie 28,6.403460358138688,18
183,Specie 29,6.705157719798158,14
184,Specie 30,3.422268107341168,1
185,Specie 31,3.999283309133234,26
186,Specie 32,3.805950742896919,13
187,Specie 33,4.001954973659583,16
188,Specie 34,4.000494232496878,22
189,Specie 35,6.831883698448486,14
190,Specie 36,8.918861874580896,29
191,Specie 37,6.06423618893648,1
192,Specie 38,6.281151716901729,0
193,Specie 0,8.992819626394153,87
194,Specie 1,8.975732186980306,12
195,Specie 2,8.991986145961215,5
196,Specie 3,8.784022973557766,51
